_id,stadium_name,address,lat,lon,url,distance
1,北上総合運動公園北上陸上競技場,岩手県北上市相去町高前檀27-36,39.2588339,141.092891,http://www.iwate2016.jp/kokutai_game/track_and_field#530,
2,盛岡市立総合プール,岩手県盛岡市本宮5-3-1,39.6904256,141.1227426,http://www.iwate2016.jp/kokutai_game/swimming#443,
3,釜石市根浜海岸特設オープンウォータースイミング会場,岩手県釜石市鵜住居町第21地割,39.3256878,141.9022607,http://www.iwate2016.jp/kokutai_game/swimming#13591,
4,盛岡南公園球技場,岩手県盛岡市永井8地割65,39.6506444,141.1348766,http://www.iwate2016.jp/kokutai_game/football#446,
5,岩手県営運動公園(サッカー競技会場),岩手県盛岡市みたけ一丁目10-1,39.7367571,141.1186777,http://www.iwate2016.jp/kokutai_game/football#467,
6,花巻市スポーツキャンプむら,岩手県花巻市太田11-363-1番地,39.3834573,141.0085533,http://www.iwate2016.jp/kokutai_game/football#501,
7,滝沢総合公園陸上競技場,岩手県滝沢市鵜飼御庭田1番地1,39.7322227,141.0701205,http://www.iwate2016.jp/kokutai_game/football#651,
8,遠野運動公園,岩手県遠野市青笹町糠前11地割1,39.3316105,141.5661085,http://www.iwate2016.jp/kokutai_game/football#558,
9,遠野市国体記念公園市民サッカー場,岩手県遠野市松崎町白岩字地森80,39.3415667,141.5335691,http://www.iwate2016.jp/kokutai_game/football#564,
10,盛岡市立太田テニスコート,岩手県盛岡市上太田穴口4-3番地,39.6896736,141.0536649,http://www.iwate2016.jp/kokutai_game/tennis#452,
11,安比高原テニスクラブ,岩手県八幡平市安比高原605-209番地,40.0051401,140.9783321,http://www.iwate2016.jp/kokutai_game/tennis#586,
12,田瀬湖ボート場,岩手県花巻市東和町田瀬29区1,39.3116056,141.3221415,http://www.iwate2016.jp/kokutai_game/boat#504,
13,岩手町ホッケー場,岩手町大字子抱第3地割2番地,39.9498394,141.1964611,http://www.iwate2016.jp/kokutai_game/hockey#639,
14,岩手町総合グラウンド,岩手県岩手郡岩手町大字子抱第4地割12番地,39.9535336,141.2051792,http://www.iwate2016.jp/kokutai_game/hockey#642,
